组合,天数,计划购电费,调整费,紧急购电费,紧急购电量,总费用,初SOC,末SOC,均值日度价格预测MAE,均值v_term
none,365,15306718.604856016,0.0,3996544.933971068,1041535.8365541673,19303263.538827084,6000.0,9453.683121088574,0.08260777366909473,0.48029783513324154
6,365,15301144.967083033,601038.1036267068,2578893.3263934916,669427.1681928332,18481076.39710323,6000.0,9593.717634764995,0.08260777366909473,0.48029783513324154
12,365,15307008.492573163,14954.421978563432,3890667.857793029,1009068.2725185984,19212630.772344757,6000.0,9453.683121088574,0.08260777366909473,0.48029783513324154
18,365,15343663.051262304,-46067.07553801767,4083979.0651744613,1062064.9393926356,19381575.040898748,6000.0,9453.683121088574,0.08260777366909473,0.48029783513324154
6+12,365,15304325.196008507,590414.3809670279,2697403.124910625,714555.7554995693,18592142.70188616,6000.0,9585.510225087262,0.08260777366909473,0.48029783513324154
6+18,365,15340705.136834897,575668.4000697256,2611978.3918906543,677578.5269590388,18528351.928795278,6000.0,9468.095520895313,0.08260777366909473,0.48029783513324154
12+18,365,15341705.666290006,-25461.01190719766,3949714.3964470215,1023621.0768484417,19265959.050829828,6000.0,9453.683121088574,0.08260777366909473,0.48029783513324154
6+12+18,365,15339779.089287922,567783.2082346901,2718877.8028274295,719541.4806943539,18626440.10035004,6000.0,9468.095520895313,0.08260777366909473,0.48029783513324154
历史选型执行策略,365,15301795.261025757,597713.851346113,2596555.51071762,677803.333562465,18496064.62308949,6000.0,9593.717634764995,0.08260777366909473,0.48029783513324154
