组合,天数,计划购电费,调整费,紧急购电费,紧急购电量,总费用,初SOC,末SOC
none,365,14496498.75544817,0.0,2401158.1136676115,624777.4129149758,16897656.86911578,6000.0,9511.327707042417
6,365,14493986.806709845,235653.0987633097,1726302.6603269672,434260.89938062744,16455942.565800121,6000.0,9511.327707042417
12,365,14496986.859255547,166099.17713063522,1670294.885281188,411075.0810883753,16333380.921667371,6000.0,9549.159359557645
18,365,14504876.568714183,59426.36115295526,2288067.7015178422,607172.698005115,16852370.63138498,6000.0,9529.77232549587
6+12,365,14495609.099804735,343509.69870375155,1383061.483687499,335748.97144002136,16222180.282195985,6000.0,9633.286707577146
6+18,365,14505162.330045648,282481.63992831047,1623570.0609252602,417538.06205248233,16411214.030899217,6000.0,9511.327707042417
12+18,365,14506515.660836851,211202.3733899925,1572518.1258371465,395638.7904520143,16290236.16006399,6000.0,9549.159359557645
6+12+18,365,14505521.209532758,384586.0278596625,1287740.7543575128,320288.4622686125,16177847.991749933,6000.0,9611.361955873579
历史选型执行策略,365,14505521.055779798,377841.6640924097,1302137.0509597687,324321.6882650257,16185499.770831976,6000.0,9611.361955873579
